          tipo             N                    soma                  erro            erro (%)
         float        100000      9.998556640625e+03   -1.443359375000e+00  1.443359375000e-02
         float       1000000      1.009583437500e+05    9.583437500000e+02  9.583437500000e-01
         float      10000000      1.087937000000e+06    8.793700000000e+04  8.793700000000e+00
         float     100000000      2.097152000000e+06   -7.902848000000e+06  7.902848000000e+01
        double        100000      1.000000000002e+04    1.884836819954e-08  1.884836819954e-10
        double       1000000      1.000000000013e+05    1.332882675342e-06  1.332882675342e-09
        double      10000000      9.999999998390e+05   -1.610246254131e-04  1.610246254131e-08
        double     100000000      9.999999981129e+06   -1.887054927647e-02  1.887054927647e-07
   long double        100000      1.000000000000e+04   -1.278976924368e-12  1.278976924368e-14
   long double       1000000      1.000000000000e+05    8.732570222492e-10  8.732570222492e-13
   long double      10000000      1.000000000000e+06    8.712743237993e-08  8.712743237993e-12
   long double     100000000      1.000000000000e+07    4.767543941853e-07  4.767543941853e-12
